Component,Description,Qty,Price (USD),Link
Microcontroller,ESP32-C3 Super Mini Development Board,1,2.21,https://www.aliexpress.com/w/wholesale-esp32-c3-super-mini.html
IMU Sensor,GY-521 MPU-6050 6-DOF Accelerometer/Gyroscope,1,1.59,https://www.aliexpress.com/w/wholesale-gy-521-mpu6050.html
Motors & Props,8520 Coreless Brushed DC Motors (CW/CCW) with Propellers,4,5.81,https://www.aliexpress.com/w/wholesale-coreless-motor-8520-propeller.html
Motor Drivers,SI2300 N-Channel MOSFETs (SOT-23 package),50,0.99,https://www.aliexpress.com/w/wholesale-si2300.html
Flyback Diodes,1N4148 Switching Diodes (SMD 1206),50,0.61,https://www.aliexpress.com/w/wholesale-switching-diode-1n4148.html
Gate Resistors,200Ω Resistors (PWM current limiting),100,0.99,https://www.aliexpress.com/w/wholesale-200-ohm-1-watt-resistor.html
Pull-down Resistors,10kΩ Resistors,100,0.99,https://www.aliexpress.com/w/wholesale-10k-pull-up-resistor.html
Bulk Capacitor,470µF 16V/25V Electrolytic Capacitor (Main battery filtering),4,1.51,https://www.aliexpress.com/w/wholesale-470uf-capacitor.html
Capacitors,100µF & 10µF Assortment (Decoupling/Filtering),1 kit,1.50,https://www.aliexpress.com/w/wholesale-smd-capacitor-assortment.html
Voltage Regulator,XC6206P332MR 3.3V LDO Voltage Regulator (SOT-23),20,1.91,https://www.aliexpress.com/item/32811070407.html
Prototyping Board,Double-sided Perfboard (2x8cm),10,1.20,https://www.aliexpress.com/w/wholesale-double-sided-perfboard.html
Wiring,30AWG Flexible Silicone Wire Kit,1 kit,3.50,https://www.aliexpress.com/w/wholesale-30awg-silicone-wire-kit.html
Battery,1S 3.7V 500mAh LiPo Battery,1,7.00,https://www.aliexpress.com/item/1005003268560510.html
Airframe,3D Printed Frame Service (SLA/Resin),1,1.00,https://jlcpcb.com/3d-printing
Total,,,30.81,
